Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginandForgotpassword_Modules,Chrome 152.0.7977.84,,,15-09-2026 11:55:38,15-09-2026 11:56:55,1m - 17.262s,PASSED
,,,,,,,
Start listener action : beforeSuite,Chrome 152.0.7977.84,,,15-09-2026 11:55:38,15-09-2026 11:55:38,0.179s,PASSED
,,,,,,,
Test Cases/Common_Test_case/Login/ValidLogin/VL_Verify_ApplicationVersion_TC_102,Chrome 152.0.7977.84,,,15-09-2026 11:55:38,15-09-2026 11:55:42,3.913s,PASSED
Start listener action : beforeTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:55:38,15-09-2026 11:55:38,0.019s,PASSED
Start listener action : beforeTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:55:38,15-09-2026 11:55:38,0.012s,PASSED
"openBrowser("""")",Chrome 152.0.7977.84,,,15-09-2026 11:55:38,15-09-2026 11:55:40,1.631s,PASSED
maximizeWindow(),Chrome 152.0.7977.84,,,15-09-2026 11:55:40,15-09-2026 11:55:40,0.052s,PASSED
"navigateToUrl(""https://sahibnkmitraqc.banksekure.com/EKYCWeb/"")",Chrome 152.0.7977.84,,,15-09-2026 11:55:40,15-09-2026 11:55:42,1.604s,PASSED
versionObj = new com.kms.katalon.core.testobject.TestObject(),Chrome 152.0.7977.84,,,15-09-2026 11:55:42,15-09-2026 11:55:42,0.006s,PASSED
"versionObj.addProperty(""xpath"", EQUALS, ""//p[contains(.,'Version')]"")",Chrome 152.0.7977.84,,,15-09-2026 11:55:42,15-09-2026 11:55:42,0.008s,PASSED
ActualApplicationversion = getText(versionObj),Chrome 152.0.7977.84,,,15-09-2026 11:55:42,15-09-2026 11:55:42,0.285s,PASSED
"logInfo("" Actual Application version number : "" + ActualApplicationversion)",Chrome 152.0.7977.84,,,15-09-2026 11:55:42,15-09-2026 11:55:42,0.001s,PASSED
"expectedVersion = ""6.3.0""",Chrome 152.0.7977.84,,,15-09-2026 11:55:42,15-09-2026 11:55:42,0.000s,PASSED
"logInfo(""Expected Application version number  : "" + expectedVersion)",Chrome 152.0.7977.84,,,15-09-2026 11:55:42,15-09-2026 11:55:42,0.001s,PASSED
if (ActualApplicationversion.contains(expectedVersion)),Chrome 152.0.7977.84,,,15-09-2026 11:55:42,15-09-2026 11:55:42,0.008s,PASSED
Start listener action : afterTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:55:42,15-09-2026 11:55:42,0.012s,PASSED
Start listener action : sampleAfterTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:55:42,15-09-2026 11:55:42,0.171s,PASSED
,,,,,,,
Test Cases/Common_Test_case/Login/InvalidLogin/IL_ValidUsername_BlankPassword_TC_103,Chrome 152.0.7977.84,,,15-09-2026 11:55:42,15-09-2026 11:55:47,4.721s,PASSED
"DATA BINDING - {""Captcha"":""i6Lvk6"",""appUrl"":""https://sahibnkmitraqc.banksekure.com/EKYCWeb/"",""userid"":""TestAutoAdm"",""Password"":""""}",,,,,,,
Start listener action : beforeTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:55:42,15-09-2026 11:55:42,0.001s,PASSED
Start listener action : beforeTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:55:42,15-09-2026 11:55:42,0.003s,PASSED
"openBrowser("""")",Chrome 152.0.7977.84,,,15-09-2026 11:55:42,15-09-2026 11:55:43,0.752s,PASSED
maximizeWindow(),Chrome 152.0.7977.84,,,15-09-2026 11:55:43,15-09-2026 11:55:43,0.050s,PASSED
navigateToUrl(appUrl),Chrome 152.0.7977.84,,,15-09-2026 11:55:43,15-09-2026 11:55:45,1.726s,PASSED
"setText(findTestObject(""invalidloginrepository/Page_Agent Management System/input_Enter User Name""), userid)",Chrome 152.0.7977.84,,,15-09-2026 11:55:45,15-09-2026 11:55:45,0.662s,PASSED
"setEncryptedText(findTestObject(""Agentstatusrepository/Page_Agent Management System/input_Enter Password""), Password)",Chrome 152.0.7977.84,,,15-09-2026 11:55:45,15-09-2026 11:55:46,0.327s,PASSED
"setText(findTestObject(""Agentstatusrepository/Page_Agent Management System/input_Enter Captcha""), Captcha)",Chrome 152.0.7977.84,,,15-09-2026 11:55:46,15-09-2026 11:55:46,0.587s,PASSED
"click(findTestObject(""invalidloginrepository/Page_Agent Management System/input_submit""))",Chrome 152.0.7977.84,,,15-09-2026 11:55:46,15-09-2026 11:55:47,0.305s,PASSED
waitForAlert(5),Chrome 152.0.7977.84,,,15-09-2026 11:55:47,15-09-2026 11:55:47,0.021s,PASSED
alertMessage = getAlertText(),Chrome 152.0.7977.84,,,15-09-2026 11:55:47,15-09-2026 11:55:47,0.014s,PASSED
"comment(""Alert Message: "" + alertMessage)",Chrome 152.0.7977.84,,,15-09-2026 11:55:47,15-09-2026 11:55:47,0.017s,PASSED
"if (alertMessage.equalsIgnoreCase(""Please enter password""))",Chrome 152.0.7977.84,,,15-09-2026 11:55:47,15-09-2026 11:55:47,0.007s,PASSED
acceptAlert(),Chrome 152.0.7977.84,,,15-09-2026 11:55:47,15-09-2026 11:55:47,0.020s,PASSED
Start listener action : afterTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:55:47,15-09-2026 11:55:47,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:55:47,15-09-2026 11:55:47,0.164s,PASSED
,,,,,,,
Test Cases/Common_Test_case/Login/InvalidLogin/IL_ValidUsername_InvalidPassword_TC_104,Chrome 152.0.7977.84,,,15-09-2026 11:55:47,15-09-2026 11:55:53,5.693s,PASSED
"DATA BINDING - {""password"":""P11S1FO2cCA\u003d"",""captcha"":""i6Lvk7"",""appUrl"":""https://sahibnkmitraqc.banksekure.com/EKYCWeb/"",""userid"":""TestAutoAdm""}",,,,,,,
Start listener action : beforeTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:55:47,15-09-2026 11:55:47,0.001s,PASSED
Start listener action : beforeTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:55:47,15-09-2026 11:55:47,0.001s,PASSED
"openBrowser("""")",Chrome 152.0.7977.84,,,15-09-2026 11:55:47,15-09-2026 11:55:48,0.701s,PASSED
maximizeWindow(),Chrome 152.0.7977.84,,,15-09-2026 11:55:48,15-09-2026 11:55:48,0.030s,PASSED
navigateToUrl(appUrl),Chrome 152.0.7977.84,,,15-09-2026 11:55:48,15-09-2026 11:55:49,1.672s,PASSED
"setText(findTestObject(""validuserandInvalidpassword/Page_Agent Management System/input_Enter User Name""), userid)",Chrome 152.0.7977.84,,,15-09-2026 11:55:49,15-09-2026 11:55:50,0.558s,PASSED
"setEncryptedText(findTestObject(""validuserandInvalidpassword/Page_Agent Management System/input_Enter Password""), password)",Chrome 152.0.7977.84,,,15-09-2026 11:55:50,15-09-2026 11:55:50,0.314s,PASSED
"setText(findTestObject(""validuserandInvalidpassword/Page_Agent Management System/input_Enter Captcha""), captcha)",Chrome 152.0.7977.84,,,15-09-2026 11:55:50,15-09-2026 11:55:51,0.546s,PASSED
"click(findTestObject(""validuserandInvalidpassword/Page_Agent Management System/input_submit""))",Chrome 152.0.7977.84,,,15-09-2026 11:55:51,15-09-2026 11:55:52,0.776s,PASSED
"waitForElementVisible(findTestObject(""invalidloginrepository/Page_Agent Management System/p_lblMessage""), 20)",Chrome 152.0.7977.84,,,15-09-2026 11:55:52,15-09-2026 11:55:52,0.683s,PASSED
"message = getText(findTestObject(""invalidloginrepository/Page_Agent Management System/p_lblMessage""))",Chrome 152.0.7977.84,,,15-09-2026 11:55:52,15-09-2026 11:55:52,0.240s,PASSED
"comment(""Validation Message: "" + message)",Chrome 152.0.7977.84,,,15-09-2026 11:55:52,15-09-2026 11:55:52,0.001s,PASSED
closeBrowser(),Chrome 152.0.7977.84,,,15-09-2026 11:55:52,15-09-2026 11:55:53,0.126s,PASSED
Start listener action : afterTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:55:53,15-09-2026 11:55:53,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:55:53,15-09-2026 11:55:53,0.001s,PASSED
,,,,,,,
Test Cases/Common_Test_case/Login/InvalidLogin/IL_InvalidUsername_ValidPassword_TC_105,Chrome 152.0.7977.84,,,15-09-2026 11:55:53,15-09-2026 11:55:58,5.554s,PASSED
"DATA BINDING - {""password"":""E/nTi+Q24sDkSmJpzmCoHQ\u003d\u003d"",""captcha"":""i6Lvk8"",""appUrl"":""https://sahibnkmitraqc.banksekure.com/EKYCWeb/"",""userid"":""Testing""}",,,,,,,
Start listener action : beforeTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:55:53,15-09-2026 11:55:53,0.002s,PASSED
Start listener action : beforeTestCase,Chrome 152.0.7977.84,,,15-09-2026 11:55:53,15-09-2026 11:55:53,0.001s,PASSED
"openBrowser("""")",Chrome 152.0.7977.84,,,15-09-2026 11:55:53,15-09-2026 11:55:53,0.683s,PASSED
maximizeWindow(),Chrome 152.0.7977.84,,,15-09-2026 11:55:53,15-09-2026 11:55:53,0.038s,PASSED
navigateToUrl(appUrl),Chrome 152.0.7977.84,,,15-09-2026 11:55:53,15-09-2026 11:55:55,1.672s,PASSED
"setText(findTestObject(""invaliduseridandvalidpassword/Page_Agent Management System/input_Enter User Name""), userid)",Chrome 152.0.7977.84,,,15-09-2026 11:55:55,15-09-2026 11:55:56,0.566s,PASSED
"setEncryptedText(findTestObject(""invaliduseridandvalidpassword/Page_Agent Management System/input_Enter Password""), password)",Chrome 152.0.7977.84,,,15-09-2026 11:55:56,15-09-2026 11:55:56,0.296s,PASSED
